Unit price,Quantity,hour,day,month,weekday,Branch,City,Customer type,Gender,Product line,Payment
12.45,6,13,9,2,5,C,Naypyitaw,Normal,Female,Electronic accessories,Cash
52.75,3,10,23,3,5,A,Yangon,Normal,Male,Food and beverages,Ewallet
82.7,6,18,5,3,1,B,Mandalay,Normal,Male,Home and lifestyle,Cash
48.71,1,19,26,3,1,C,Naypyitaw,Member,Male,Fashion accessories,Cash
78.55,9,13,1,3,4,C,Naypyitaw,Normal,Male,Fashion accessories,Cash
23.07,9,11,1,2,4,C,Naypyitaw,Normal,Female,Electronic accessories,Cash
58.26,6,16,28,3,3,A,Yangon,Normal,Male,Food and beverages,Cash
30.35,7,18,19,3,1,B,Mandalay,Normal,Male,Health and beauty,Cash
88.67,10,14,12,1,5,A,Yangon,Member,Male,Electronic accessories,Ewallet
27.38,6,20,5,1,5,C,Naypyitaw,Normal,Male,Fashion accessories,Credit card
62.13,6,20,22,3,4,A,Yangon,Normal,Male,Sports and travel,Cash
33.98,9,10,24,3,6,C,Naypyitaw,Normal,Female,Food and beverages,Cash
81.97,10,14,3,3,6,C,Naypyitaw,Member,Male,Electronic accessories,Cash
16.49,2,11,5,2,1,B,Mandalay,Member,Female,Sports and travel,Ewallet
98.21,3,10,5,2,1,C,Naypyitaw,Member,Female,Health and beauty,Credit card
72.84,7,12,15,2,4,B,Mandalay,Normal,Female,Fashion accessories,Cash
58.07,9,20,19,1,5,A,Yangon,Member,Male,Home and lifestyle,Ewallet
80.79,9,20,1,2,4,C,Naypyitaw,Member,Female,Home and lifestyle,Credit card
27.02,3,13,2,3,5,C,Naypyitaw,Normal,Female,Fashion accessories,Credit card
21.94,5,12,5,3,1,B,Mandalay,Member,Male,Fashion accessories,Ewallet
51.36,1,15,16,1,2,B,Mandalay,Member,Male,Fashion accessories,Ewallet
10.96,10,20,2,2,5,A,Yangon,Normal,Female,Food and beverages,Ewallet
53.44,2,20,20,1,6,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet
99.56,8,17,14,2,3,A,Yangon,Normal,Female,Electronic accessories,Credit card
57.12,7,12,12,1,5,C,Naypyitaw,Member,Male,Sports and travel,Credit card
99.96,9,17,9,3,5,B,Mandalay,Member,Male,Sports and travel,Credit card
63.91,8,19,13,3,2,C,Naypyitaw,Member,Male,Home and lifestyle,Credit card
56.47,8,14,9,3,5,B,Mandalay,Member,Female,Fashion accessories,Ewallet
93.69,7,18,10,3,6,A,Yangon,Normal,Female,Home and lifestyle,Credit card
32.25,5,13,27,1,6,A,Yangon,Normal,Female,Sports and travel,Cash
31.73,9,16,8,1,1,C,Naypyitaw,Normal,Female,Fashion accessories,Credit card
68.54,8,15,8,1,1,C,Naypyitaw,Member,Female,Food and beverages,Ewallet
90.28,9,11,8,2,4,B,Mandalay,Normal,Female,Sports and travel,Ewallet
39.62,7,13,25,1,4,B,Mandalay,Normal,Female,Fashion accessories,Cash
92.13,6,20,6,3,2,A,Yangon,Member,Female,Sports and travel,Cash
34.84,4,18,10,2,6,B,Mandalay,Normal,Female,Sports and travel,Cash
87.45,6,14,17,2,6,B,Mandalay,Member,Male,Electronic accessories,Credit card
81.3,6,16,8,3,4,C,Naypyitaw,Normal,Female,Health and beauty,Ewallet
90.22,3,19,18,2,0,C,Naypyitaw,Normal,Male,Fashion accessories,Cash
26.31,5,20,18,1,4,A,Yangon,Normal,Female,Electronic accessories,Credit card
34.42,6,15,18,2,0,A,Yangon,Member,Female,Home and lifestyle,Cash
51.91,10,12,16,2,5,B,Mandalay,Normal,Male,Sports and travel,Cash
72.5,8,19,16,3,5,A,Yangon,Normal,Male,Sports and travel,Ewallet
89.8,10,13,23,1,2,C,Naypyitaw,Member,Female,Sports and travel,Credit card
90.5,10,13,25,1,4,C,Naypyitaw,Member,Male,Health and beauty,Cash
68.6,10,19,5,2,1,C,Naypyitaw,Member,Female,Health and beauty,Cash
30.41,1,10,22,2,4,C,Naypyitaw,Member,Female,Food and beverages,Credit card
77.95,6,16,21,1,0,A,Yangon,Normal,Female,Home and lifestyle,Ewallet
46.26,6,17,8,3,4,C,Naypyitaw,Normal,Female,Health and beauty,Credit card
30.14,10,12,10,2,6,A,Yangon,Member,Female,Fashion accessories,Ewallet
66.14,4,12,19,3,1,C,Naypyitaw,Normal,Male,Health and beauty,Credit card
71.86,8,15,6,3,2,B,Mandalay,Member,Male,Home and lifestyle,Credit card
32.46,8,13,27,3,2,A,Yangon,Normal,Male,Health and beauty,Credit card
91.54,4,19,23,3,5,B,Mandalay,Member,Female,Fashion accessories,Credit card
34.56,7,16,11,3,0,C,Naypyitaw,Member,Male,Sports and travel,Credit card
83.24,9,11,29,1,1,A,Yangon,Normal,Male,Fashion accessories,Credit card
16.48,6,18,7,2,3,C,Naypyitaw,Normal,Female,Food and beverages,Ewallet
80.97,8,13,28,1,0,C,Naypyitaw,Normal,Female,Sports and travel,Cash
92.29,5,15,20,2,2,A,Yangon,Member,Male,Food and beverages,Credit card
72.17,1,19,4,1,4,B,Mandalay,Member,Male,Electronic accessories,Cash
50.28,5,13,7,3,3,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet
97.22,9,14,30,3,5,B,Mandalay,Member,Male,Health and beauty,Ewallet
93.39,6,19,27,3,2,B,Mandalay,Normal,Male,Sports and travel,Ewallet
43.18,8,19,19,1,5,C,Naypyitaw,Normal,Female,Food and beverages,Credit card
63.69,1,16,25,2,0,A,Yangon,Normal,Male,Sports and travel,Cash
45.79,7,19,13,3,2,A,Yangon,Normal,Male,Food and beverages,Credit card
76.4,2,19,30,1,2,C,Naypyitaw,Normal,Male,Sports and travel,Ewallet
39.9,10,15,20,2,2,B,Mandalay,Normal,Male,Food and beverages,Credit card
42.57,8,14,25,2,0,B,Mandalay,Member,Male,Health and beauty,Ewallet
95.58,10,13,16,1,2,C,Naypyitaw,Normal,Male,Home and lifestyle,Cash
98.98,10,16,8,2,4,A,Yangon,Normal,Male,Fashion accessories,Credit card
51.28,6,16,19,1,5,A,Yangon,Normal,Male,Food and beverages,Cash
69.52,7,15,1,2,4,A,Yangon,Member,Male,Sports and travel,Credit card
70.01,5,11,3,1,3,A,Yangon,Normal,Male,Health and beauty,Ewallet
80.05,5,12,26,1,5,B,Mandalay,Member,Male,Food and beverages,Credit card
20.85,8,19,3,3,6,C,Naypyitaw,Normal,Male,Electronic accessories,Cash
52.89,6,17,19,1,5,B,Mandalay,Member,Male,Electronic accessories,Credit card
19.79,8,12,18,1,4,B,Mandalay,Normal,Male,Food and beverages,Ewallet
33.84,9,16,21,3,3,A,Yangon,Member,Male,Home and lifestyle,Ewallet
22.17,8,17,3,3,6,A,Yangon,Member,Male,Food and beverages,Credit card
22.51,7,10,13,2,2,C,Naypyitaw,Normal,Female,Fashion accessories,Credit card
73.88,6,19,23,3,5,A,Yangon,Normal,Male,Food and beverages,Ewallet
86.8,3,16,28,1,0,C,Naypyitaw,Member,Male,Health and beauty,Ewallet
64.26,7,10,9,2,5,C,Naypyitaw,Normal,Male,Fashion accessories,Cash
38.47,8,11,23,1,2,C,Naypyitaw,Member,Male,Food and beverages,Cash
15.5,10,10,23,3,5,A,Yangon,Member,Male,Sports and travel,Ewallet
34.31,8,15,25,1,4,C,Naypyitaw,Normal,Male,Health and beauty,Ewallet
12.34,7,11,4,3,0,A,Yangon,Normal,Female,Sports and travel,Credit card
18.08,3,19,5,3,1,B,Mandalay,Member,Male,Food and beverages,Ewallet
94.49,8,19,3,3,6,B,Mandalay,Member,Female,Home and lifestyle,Ewallet
46.47,4,10,8,2,4,B,Mandalay,Member,Male,Home and lifestyle,Cash
74.07,1,12,10,2,6,A,Yangon,Normal,Male,Home and lifestyle,Ewallet
69.81,4,20,28,1,0,C,Naypyitaw,Normal,Female,Home and lifestyle,Credit card
77.04,3,10,11,2,0,B,Mandalay,Normal,Female,Home and lifestyle,Credit card
73.52,2,13,15,1,1,B,Mandalay,Normal,Female,Fashion accessories,Ewallet
87.8,9,19,16,3,5,C,Naypyitaw,Normal,Female,Food and beverages,Cash
25.55,4,20,26,1,5,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet
32.71,5,11,19,3,1,A,Yangon,Normal,Male,Electronic accessories,Credit card
74.29,1,19,13,1,6,C,Naypyitaw,Member,Female,Fashion accessories,Cash
43.7,2,18,26,3,1,C,Naypyitaw,Member,Male,Health and beauty,Cash
25.29,1,10,23,3,5,A,Yangon,Normal,Female,Home and lifestyle,Ewallet
41.5,4,19,12,3,1,C,Naypyitaw,Normal,Male,Health and beauty,Credit card
71.39,5,19,17,2,6,C,Naypyitaw,Member,Female,Food and beverages,Credit card
19.15,6,10,29,1,1,C,Naypyitaw,Member,Female,Sports and travel,Credit card
57.49,4,11,15,3,4,B,Mandalay,Member,Female,Electronic accessories,Cash
61.41,7,10,14,1,0,C,Naypyitaw,Normal,Male,Electronic accessories,Cash
25.9,10,14,6,2,2,B,Mandalay,Member,Male,Health and beauty,Ewallet
17.77,5,12,15,2,4,B,Mandalay,Member,Male,Home and lifestyle,Credit card
23.03,9,12,3,1,3,A,Yangon,Normal,Female,Health and beauty,Ewallet
66.65,9,18,4,1,4,C,Naypyitaw,Member,Female,Electronic accessories,Credit card
28.53,10,17,18,3,0,C,Naypyitaw,Member,Female,Home and lifestyle,Ewallet
30.37,3,13,28,3,3,B,Mandalay,Normal,Female,Fashion accessories,Ewallet
99.73,9,19,2,3,5,B,Mandalay,Normal,Female,Electronic accessories,Credit card
26.23,9,20,25,1,4,A,Yangon,Normal,Male,Electronic accessories,Ewallet
93.26,9,18,16,1,2,C,Naypyitaw,Normal,Female,Food and beverages,Cash
92.36,5,19,20,3,2,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet
46.42,3,13,4,1,4,B,Mandalay,Normal,Male,Sports and travel,Credit card
29.61,7,15,11,3,0,B,Mandalay,Member,Female,Sports and travel,Cash
18.28,1,15,22,3,4,A,Yangon,Normal,Male,Home and lifestyle,Credit card
24.77,5,18,24,3,6,B,Mandalay,Normal,Female,Sports and travel,Cash
94.64,3,16,21,2,3,A,Yangon,Member,Female,Electronic accessories,Cash
94.87,8,12,12,2,1,B,Mandalay,Normal,Male,Fashion accessories,Ewallet
57.34,3,18,10,3,6,B,Mandalay,Normal,Female,Food and beverages,Credit card
45.35,6,13,31,1,3,B,Mandalay,Normal,Male,Electronic accessories,Ewallet
62.08,7,13,6,3,2,B,Mandalay,Normal,Male,Food and beverages,Ewallet
11.81,5,18,17,2,6,C,Naypyitaw,Normal,Male,Electronic accessories,Cash
12.54,1,12,21,2,3,C,Naypyitaw,Member,Female,Fashion accessories,Cash
43.25,2,15,20,3,2,A,Yangon,Normal,Male,Food and beverages,Cash
87.16,2,14,11,1,4,C,Naypyitaw,Member,Female,Sports and travel,Credit card
69.37,9,19,26,1,5,B,Mandalay,Member,Male,Health and beauty,Ewallet
37.06,4,16,31,1,3,C,Naypyitaw,Member,Male,Electronic accessories,Ewallet
90.7,6,10,26,2,1,B,Mandalay,Member,Female,Electronic accessories,Cash
63.42,8,12,11,3,0,A,Yangon,Normal,Female,Home and lifestyle,Ewallet
81.37,2,19,26,1,5,B,Mandalay,Normal,Female,Fashion accessories,Cash
10.59,3,13,12,3,1,B,Mandalay,Member,Female,Electronic accessories,Credit card
84.09,9,10,11,2,0,B,Mandalay,Normal,Female,Health and beauty,Cash
73.82,4,18,21,2,3,B,Mandalay,Member,Male,Fashion accessories,Cash
51.94,10,18,9,3,5,A,Yangon,Member,Male,Health and beauty,Ewallet
93.14,2,18,20,1,6,A,Yangon,Normal,Female,Sports and travel,Ewallet
17.41,5,15,28,1,0,C,Naypyitaw,Normal,Male,Health and beauty,Credit card
44.22,5,17,5,3,1,C,Naypyitaw,Member,Female,Fashion accessories,Credit card
13.22,5,19,2,3,5,B,Mandalay,Member,Female,Electronic accessories,Cash
89.69,1,11,11,1,4,A,Yangon,Normal,Male,Fashion accessories,Ewallet
24.94,9,16,11,1,4,A,Yangon,Normal,Male,Food and beverages,Credit card
59.77,2,12,11,3,0,A,Yangon,Normal,Male,Health and beauty,Credit card
93.2,2,18,28,2,3,C,Naypyitaw,Member,Male,Fashion accessories,Credit card
62.65,4,11,5,1,5,A,Yangon,Member,Male,Home and lifestyle,Cash
93.87,8,18,2,2,5,B,Mandalay,Normal,Male,Home and lifestyle,Credit card
47.59,8,14,1,1,1,A,Yangon,Member,Male,Home and lifestyle,Cash
81.4,3,19,9,2,5,B,Mandalay,Member,Female,Electronic accessories,Cash
17.94,5,14,23,1,2,A,Yangon,Member,Male,Fashion accessories,Ewallet
77.72,4,16,7,1,0,A,Yangon,Member,Male,Electronic accessories,Credit card
73.06,7,19,14,1,0,B,Mandalay,Normal,Male,Food and beverages,Credit card
46.55,9,15,2,2,5,B,Mandalay,Member,Male,Food and beverages,Ewallet
35.19,10,19,17,3,6,C,Naypyitaw,Member,Male,Fashion accessories,Credit card
14.39,2,19,2,3,5,C,Naypyitaw,Normal,Female,Sports and travel,Credit card
23.75,4,11,16,3,5,A,Yangon,Normal,Male,Home and lifestyle,Cash
58.9,8,11,6,1,6,A,Yangon,Member,Male,Home and lifestyle,Cash
32.62,4,14,29,1,1,B,Mandalay,Member,Male,Fashion accessories,Cash
66.35,1,10,31,1,3,A,Yangon,Member,Male,Electronic accessories,Credit card
25.91,6,10,5,2,1,A,Yangon,Member,Male,Home and lifestyle,Ewallet
32.25,4,12,13,2,2,A,Yangon,Member,Male,Electronic accessories,Ewallet
65.94,4,13,7,2,3,C,Naypyitaw,Member,Male,Electronic accessories,Credit card
75.06,9,13,19,3,1,A,Yangon,Normal,Female,Electronic accessories,Ewallet
16.45,4,14,7,3,3,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet
38.3,4,19,13,3,2,B,Mandalay,Member,Female,Fashion accessories,Cash
22.24,10,11,9,2,5,A,Yangon,Member,Female,Sports and travel,Cash
54.45,1,19,26,2,1,B,Mandalay,Normal,Male,Sports and travel,Ewallet
98.4,7,12,12,3,1,A,Yangon,Member,Female,Sports and travel,Credit card
35.47,4,17,14,3,3,C,Naypyitaw,Normal,Male,Home and lifestyle,Credit card
74.6,10,20,8,1,1,B,Mandalay,Member,Female,Food and beverages,Cash
70.74,4,16,5,1,5,A,Yangon,Member,Male,Home and lifestyle,Credit card
35.54,10,13,4,1,4,A,Yangon,Member,Female,Home and lifestyle,Ewallet
67.43,5,18,6,3,2,B,Mandalay,Normal,Female,Sports and travel,Ewallet
21.12,2,19,3,1,3,C,Naypyitaw,Member,Female,Health and beauty,Cash
21.54,9,11,7,1,0,A,Yangon,Member,Female,Home and lifestyle,Credit card
12.03,2,15,27,1,6,A,Yangon,Normal,Female,Home and lifestyle,Cash
99.71,6,16,26,2,1,B,Mandalay,Normal,Female,Health and beauty,Ewallet
47.97,7,20,7,1,0,B,Mandalay,Normal,Male,Fashion accessories,Cash
21.82,10,17,7,1,0,C,Naypyitaw,Member,Female,Home and lifestyle,Cash
95.42,4,13,2,2,5,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet
70.99,10,16,20,3,2,C,Naypyitaw,Member,Male,Fashion accessories,Cash
44.02,10,19,20,3,2,A,Yangon,Member,Male,Sports and travel,Credit card
69.96,8,17,15,2,4,A,Yangon,Normal,Female,Home and lifestyle,Credit card
37.0,1,13,6,3,2,C,Naypyitaw,Normal,Male,Home and lifestyle,Credit card
15.34,1,11,6,1,6,A,Yangon,Normal,Female,Sports and travel,Cash
99.83,6,15,4,3,0,A,Yangon,Member,Male,Health and beauty,Ewallet
47.67,4,14,12,3,1,A,Yangon,Member,Female,Health and beauty,Cash
66.68,5,18,20,2,2,B,Mandalay,Normal,Male,Health and beauty,Cash
74.86,1,14,24,3,6,C,Naypyitaw,Member,Male,Home and lifestyle,Cash
23.75,9,12,31,1,3,C,Naypyitaw,Normal,Female,Sports and travel,Cash
48.51,7,13,25,1,4,B,Mandalay,Normal,Female,Food and beverages,Credit card
94.88,7,14,3,2,6,A,Yangon,Member,Female,Home and lifestyle,Cash
40.3,10,17,24,1,3,B,Mandalay,Member,Male,Electronic accessories,Credit card
27.85,7,17,14,3,3,C,Naypyitaw,Normal,Male,Electronic accessories,Ewallet
62.48,1,20,18,2,0,A,Yangon,Member,Female,Electronic accessories,Cash
36.36,2,10,21,1,0,A,Yangon,Member,Female,Food and beverages,Cash
18.11,10,11,13,3,2,B,Mandalay,Normal,Male,Health and beauty,Ewallet
51.92,5,13,3,3,6,C,Naypyitaw,Member,Female,Electronic accessories,Cash
28.84,4,14,29,3,4,C,Naypyitaw,Normal,Male,Electronic accessories,Cash
78.38,6,14,10,1,3,A,Yangon,Member,Male,Home and lifestyle,Ewallet
60.01,4,15,25,1,4,A,Yangon,Member,Male,Home and lifestyle,Cash
88.61,1,10,19,1,5,C,Naypyitaw,Member,Female,Home and lifestyle,Cash
99.82,2,18,2,1,2,C,Naypyitaw,Normal,Male,Fashion accessories,Credit card
39.01,1,16,12,3,1,B,Mandalay,Member,Male,Health and beauty,Credit card
48.61,1,15,25,2,0,C,Naypyitaw,Normal,Male,Food and beverages,Cash
51.19,4,17,18,3,0,A,Yangon,Normal,Female,Electronic accessories,Credit card
14.96,8,12,23,2,5,B,Mandalay,Normal,Female,Electronic accessories,Cash
72.2,7,20,26,3,1,A,Yangon,Member,Male,Electronic accessories,Ewallet
40.23,7,13,30,3,5,A,Yangon,Normal,Female,Sports and travel,Cash
88.79,8,17,17,2,6,A,Yangon,Member,Female,Home and lifestyle,Cash
26.48,3,10,21,3,3,A,Yangon,Member,Female,Electronic accessories,Ewallet
81.91,2,17,5,3,1,A,Yangon,Normal,Female,Fashion accessories,Cash
79.93,6,14,31,1,3,B,Mandalay,Member,Male,Sports and travel,Cash
69.33,2,19,5,2,1,C,Naypyitaw,Member,Male,Fashion accessories,Ewallet
14.23,5,10,1,2,4,A,Yangon,Member,Female,Food and beverages,Credit card
15.55,9,13,7,3,3,A,Yangon,Member,Female,Health and beauty,Cash
78.13,10,20,10,2,6,C,Naypyitaw,Member,Female,Electronic accessories,Cash
99.37,2,17,14,2,3,C,Naypyitaw,Member,Male,Food and beverages,Cash
21.08,3,10,9,2,5,C,Naypyitaw,Member,Female,Food and beverages,Cash
74.79,5,11,10,1,3,C,Naypyitaw,Member,Male,Electronic accessories,Cash
29.67,7,18,11,3,0,C,Naypyitaw,Member,Female,Health and beauty,Credit card
44.07,4,16,18,2,0,C,Naypyitaw,Member,Male,Health and beauty,Ewallet
22.93,9,20,26,2,1,C,Naypyitaw,Normal,Female,Food and beverages,Cash
39.42,1,15,18,1,4,C,Naypyitaw,Normal,Female,Health and beauty,Cash
15.26,6,18,15,2,4,A,Yangon,Normal,Male,Health and beauty,Ewallet
61.77,5,13,8,3,4,A,Yangon,Normal,Female,Fashion accessories,Cash
21.52,6,12,17,1,3,A,Yangon,Normal,Male,Home and lifestyle,Credit card
97.74,4,19,12,3,1,B,Mandalay,Normal,Male,Sports and travel,Ewallet
99.78,5,19,9,3,5,A,Yangon,Member,Male,Food and beverages,Cash
94.26,4,16,12,3,1,C,Naypyitaw,Member,Male,Food and beverages,Cash
51.13,4,10,25,1,4,B,Mandalay,Member,Male,Health and beauty,Credit card
36.36,4,13,25,3,0,A,Yangon,Member,Male,Electronic accessories,Cash
22.02,9,18,7,2,3,B,Mandalay,Normal,Male,Home and lifestyle,Cash
32.9,3,17,17,2,6,A,Yangon,Normal,Male,Food and beverages,Credit card
77.02,5,15,3,2,6,A,Yangon,Normal,Male,Fashion accessories,Cash
23.48,2,11,14,3,3,A,Yangon,Member,Male,Food and beverages,Credit card
14.7,5,13,24,3,6,C,Naypyitaw,Member,Male,Sports and travel,Ewallet
